5.95	4.77	13.50	5.64	7.73	3.72	2.91	0.00	6.36	6.09
7.33	4.90	10.43	5.24	5.95	1.86	3.86	0.00	6.24	6.19
20.65	6.35	7.52	5.70	7.61	4.48	5.83	7.80	7.35	6.57
9.90	5.52	9.33	5.86	7.71	2.86	6.71	0.00	7.43	5.76
12.82	5.36	12.68	4.64	6.64	3.23	7.18	15.54	7.18	6.05
12.87	5.22	18.22	3.96	6.26	3.23	3.70	1.53	7.35	6.61
8.38	5.24	11.19	3.95	6.43	3.23	4.76	5.92	7.05	5.52
8.91	5.35	1.48	4.48	7.65	3.23	2.65	12.35	7.70	6.65
9.29	5.33	2.62	4.05	8.76	3.23	2.95	0.00	7.90	6.76
8.50	4.40	4.85	0.00	3.45	3.23	1.65	0.00	6.15	5.20
10.43	3.65	4.30	0.00	0.00	3.23	5.04	0.00	6.26	5.43
9.29	3.86	5.95	0.00	0.00	3.23	4.05	7.55	7.33	5.62
0.00	3.64	8.80	0.00	0.00	3.23	7.18	0.00	6.55	6.14
0.00	3.27	7.23	0.00	0.00	3.23	3.59	0.64	6.95	5.91
5.90	3.14	4.76	4.33	6.19	3.23	3.38	9.57	4.43	5.57
5.04	3.26	5.30	4.52	5.83	3.23	3.30	19.17	4.57	5.43
7.09	3.23	5.68	4.18	5.82	3.23	3.32	8.55	4.41	5.50
5.57	3.29	2.38	3.48	6.19	3.23	3.19	6.52	4.43	5.05
4.09	3.73	2.32	3.82	6.36	3.23	3.23	7.59	6.00	4.09
5.82	3.64	1.32	4.05	5.45	3.59	3.41	7.32	5.73	4.18
5.73	3.55	3.23	4.27	6.32	9.23	3.73	6.77	5.50	3.64
4.50	3.81	3.35	4.45	9.75	8.71	3.45	5.95	5.00	3.85
4.09	3.30	0.00	20.87	11.83	12.00	3.43	5.17	5.13	3.83
2.00	2.85	0.00	22.65	3.05	5.10	2.75	4.10	3.90	2.56
0.00	2.82	5.76	3.05	4.78	9.86	3.48	5.26	4.09	3.43
1.41	3.28	7.94	3.86	4.95	6.64	3.68	5.82	4.23	4.14
3.70	3.14	7.67	4.00	5.00	3.73	3.24	9.48	5.52	4.52
20.57	3.30	4.34	3.43	4.43	4.87	2.65	6.61	7.39	4.39
12.10	3.14	4.31	3.29	3.33	4.35	3.43	4.86	6.09	4.05
10.05	3.14	4.18	3.36	3.27	7.57	3.09	4.36	5.55	7.23
17.05	3.46	2.53	4.55	3.18	6.23	3.27	4.00	6.27	6.82
10.66	3.29	2.67	4.43	4.52	8.75	2.18	4.38	4.14	1.38
7.05	2.83	5.24	4.61	3.04	7.23	2.83	4.11	4.48	1.17
3.45	3.41	2.63	5.40	4.30	4.05	3.55	4.95	4.70	3.45
9.86	3.78	3.31	5.05	4.91	7.57	3.18	5.11	5.32	3.36
2.69	3.05	0.93	3.29	3.95	7.26	2.29	5.05	3.81	2.29
1.11	2.65	3.13	3.43	4.13	9.06	2.43	5.78	3.83	3.13
3.16	2.76	3.26	3.19	4.90	4.38	3.10	4.81	2.33	3.57
3.16	3.36	0.00	3.50	4.95	4.64	3.45	8.55	4.00	3.73
3.16	3.91	4.36	3.48	4.96	3.17	3.57	7.30	4.09	4.00
5.20	3.80	4.25	5.00	4.60	6.84	3.10	5.75	4.05	3.60
3.39	3.61	0.92	5.87	4.87	6.36	4.04	7.61	4.04	4.04
2.73	3.91	0.90	30.27	4.91	20.07	3.14	7.14	4.05	3.50
1.76	3.77	2.62	13.62	4.81	46.92	2.19	4.33	2.52	2.95
36.70	3.96	3.32	47.78	4.13	5.63	8.65	9.22	4.30	4.22
51.57	13.43	3.33	37.10	4.67	21.29	13.47	10.43	6.86	5.62
36.40	9.33	4.39	41.90	4.80	46.21	7.21	11.57	4.86	6.43
33.55	12.59	2.56	19.98	4.50	36.16	4.73	9.32	6.00	7.77
14.00	12.14	5.48	4.14	7.00	38.67	3.64	8.05	6.00	6.09
4.24	14.48	10.71	5.24	8.86	43.33	3.14	8.52	9.81	7.57
6.52	11.91	18.87	6.96	9.30	22.43	7.61	11.09	6.00	9.83
4.43	8.57	13.79	5.19	9.24	7.19	6.32	7.52	4.29	6.30
5.86	4.77	10.26	6.41	6.95	11.59	3.41	13.55	4.36	8.77
12.48	16.57	7.20	20.48	7.22	26.22	4.29	11.52	4.96	17.65
12.70	16.95	0.00	38.72	5.50	21.25	11.65	16.20	5.20	20.40
24.70	14.27	29.38	37.11	5.33	38.90	41.35	17.48	5.10	18.61
18.09	10.73	5.25	41.16	6.19	67.00	10.55	15.57	5.10	22.18
18.00	5.85	11.46	33.40	4.90	55.89	4.00	18.00	4.75	24.85
21.18	6.18	18.89	19.89	6.00	20.33	12.66	26.68	4.36	31.73
25.85	5.18	16.30	11.33	10.57	27.36	11.26	23.20	4.80	28.82
25.61	8.95	18.63	15.69	17.81	19.79	9.14	23.38	8.19	26.19
37.68	9.36	8.15	14.41	29.18	21.75	11.32	21.86	11.91	21.14
39.26	7.91	9.22	14.48	28.52	23.13	11.39	20.87	24.43	20.13
25.48	7.14	6.09	12.14	37.24	31.16	9.29	16.14	16.48	14.10
35.77	6.91	17.41	13.32	33.95	19.88	9.41	20.18	13.77	15.00
40.09	14.14	21.98	17.05	22.18	21.54	14.32	19.95	9.50	16.14
36.87	11.67	23.27	14.03	26.97	21.32	10.10	17.81	14.71	16.00
35.13	19.39	25.40	12.09	46.04	15.90	12.35	16.09	10.91	18.09
35.43	9.47	15.96	17.47	34.51	13.74	9.81	16.90	10.95	20.10
33.25	14.45	20.42	13.99	38.58	17.62	11.25	19.40	22.95	26.90
29.91	23.66	26.68	15.23	41.17	29.24	12.04	20.30	47.87	26.83
29.45	25.58	23.58	14.00	152.67	43.28	15.27	19.50	67.65	29.43
34.69	26.71	34.60	15.86	260.86	135.65	51.52	27.62	200.81	94.23
34.64	15.68	9.36	21.82	204.08	172.73	38.63	16.24	221.02	107.70
42.32	17.14	8.35	22.95	146.56	129.89	30.05	7.05	176.59	67.82
42.40	17.50	40.12	23.32	167.70	125.00	20.23	7.05	162.03	54.29
43.86	14.86	55.30	17.35	201.61	113.64	19.50	14.73	132.18	41.51
36.33	15.33	33.80	16.09	139.10	135.88	35.08	16.00	128.81	24.67
27.36	14.86	18.46	14.05	93.64	236.73	41.06	15.45	193.71	27.05
25.35	20.53	30.16	19.52	104.78	220.78	78.11	14.61	153.08	55.43
24.24	28.53	17.36	13.81	82.92	204.11	38.84	15.76	139.82	41.28
22.00	29.95	12.89	13.15	91.59	196.90	27.14	10.00	156.51	41.20
20.00	29.96	14.82	10.00	115.98	221.91	19.96	15.22	152.20	23.47
24.29	30.05	16.64	10.38	174.92	307.29	22.94	14.60	301.56	22.69
20.00	30.00	12.37	6.32	201.46	329.06	14.47	29.64	329.18	21.46
20.00	29.95	5.92	5.59	186.01	276.26	22.61	50.91	355.04	25.69
25.71	26.67	5.55	6.19	298.24	335.68	39.11	22.00	352.13	57.47
20.00	29.96	5.87	6.04	313.14	330.91	48.66	9.30	425.59	83.47
20.00	30.05	4.80	6.00	554.73	306.89	49.57	8.68	340.95	115.91
20.71	50.00	5.95	13.95	583.49	341.75	36.86	6.71	324.06	148.10
30.36	62.65	3.95	14.36	639.96	276.26	100.99	6.32	413.25	158.87
65.86	52.26	15.45	12.50	642.32	336.28	112.75	16.00	399.15	100.14
57.05	76.90	15.05	36.68	615.40	347.77	99.81	16.00	380.02	69.76
87.62	83.57	15.03	28.43	409.86	255.52	40.73	8.48	347.89	39.81
83.64	78.86	19.38	19.05	233.55	182.49	26.79	5.41	281.10	32.94
70.71	68.33	19.06	19.62	116.84	167.70	25.11	5.00	177.73	41.29
63.93	60.22	15.53	20.00	127.32	198.75	23.74	6.13	204.80	42.83
57.90	66.62	15.78	20.00	124.57	184.40	28.69	5.33	215.75	56.13
65.68	66.82	15.00	19.95	98.82	169.71	28.68	5.77	196.52	61.39
53.91	59.78	14.99	20.00	88.48	210.87	41.85	9.17	197.05	96.21
71.75	62.70	27.60	20.00	107.75	148.98	31.23	10.35	152.68	80.93
39.78	49.13	30.03	23.48	100.87	172.83	18.77	9.70	168.10	61.67
57.50	65.36	29.30	26.50	104.09	139.56	16.89	9.77	141.05	57.63
